Month,Frequency
1980-01,480
1980-02,467
1980-03,514
1980-04,505
1980-05,534
1980-06,546
1980-07,539
1980-08,541
1980-09,551
1980-10,537
1980-11,584
1980-12,854
1981-01,522
1981-02,506
1981-03,558
1981-04,538
1981-05,605
1981-06,583
1981-07,607
1981-08,624
1981-09,570
1981-10,609
1981-11,675
1981-12,861
1982-01,605
1982-02,537
1982-03,575
1982-04,588
1982-05,656
1982-06,623
1982-07,661
1982-08,668
1982-09,603
1982-10,639
1982-11,669
1982-12,915
1983-01,643
1983-02,563
1983-03,616
1983-04,645
1983-05,703
1983-06,684
1983-07,731
1983-08,722
1983-09,678
1983-10,713
1983-11,725
1983-12,989
1984-01,687
1984-02,629
1984-03,687
1984-04,706
1984-05,754
1984-06,774
1984-07,825
1984-08,755
1984-09,751
1984-10,783
1984-11,804
1984-12,1139
1985-01,711
1985-02,693
1985-03,790
1985-04,754
1985-05,799
1985-06,824
1985-07,854
1985-08,810
1985-09,798
1985-10,807
1985-11,832
1985-12,1142
1986-01,740
1986-02,713
1986-03,791
1986-04,768
1986-05,846
1986-06,884
1986-07,886
1986-08,878
1986-09,813
1986-10,840
1986-11,884
1986-12,1245
1987-01,796
1987-02,750
1987-03,834
1987-04,838
1987-05,902
1987-06,895
1987-07,962
1987-08,990
1987-09,882
1987-10,936
1987-11,997
1987-12,1305
1988-01,866
1988-02,805
1988-03,905
1988-04,873
1988-05,1024
1988-06,985
1988-07,1049
1988-08,1034
1988-09,951
1988-10,1010
1988-11,1016
1988-12,1378
1989-01,915
1989-02,854
1989-03,922
1989-04,965
1989-05,1014
1989-06,1040
1989-07,1137
1989-08,1026
1989-09,992
1989-10,1052
1989-11,1056
1989-12,1469
1990-01,916
1990-02,934
1990-03,987
1990-04,1018
1990-05,1048
1990-06,1086
1990-07,1144
1990-08,1077
1990-09,1036
1990-10,1076
1990-11,1114
1990-12,1595
1991-01,949
1991-02,930
1991-03,1045
1991-04,1015
1991-05,1091
1991-06,1142
1991-07,1182
1991-08,1161
1991-09,1145
1991-10,1119
1991-11,1189
1991-12,1662
1992-01,1048
1992-02,1019
1992-03,1129
1992-04,1092
1992-05,1176
1992-06,1297
1992-07,1322
1992-08,1330
1992-09,1263
1992-10,1250
1992-11,1341
1992-12,1927
1993-01,1271
1993-02,1238
1993-03,1283
1993-04,1283
1993-05,1413
1993-06,1371
1993-07,1425
1993-08,1453
1993-09,1311
1993-10,1387
1993-11,1454
1993-12,1993
1994-01,1328
1994-02,1250
1994-03,1308
1994-04,1350
1994-05,1455
1994-06,1442
1994-07,1530
1994-08,1505
1994-09,1421
1994-10,1485
1994-11,1465
1994-12,2163
1995-01,1361
1995-02,1284
1995-03,1392
1995-04,1442
1995-05,1504
1995-06,1488
1995-07,1606
1995-08,1488
1995-09,1442
1995-10,1495
1995-11,1509
1995-12,2135
1996-01,1369
1996-02,1320
1996-03,1448
1996-04,1495
1996-05,1522
1996-06,1575
1996-07,1666
1996-08,1617
1996-09,1567
1996-10,1551
1996-11,1624
1996-12,2367
1997-01,1377
1997-02,1294
1997-03,1401
1997-04,1362
1997-05,1466
1997-06,1559
1997-07,1569
1997-08,1575
1997-09,1456
1997-10,1487
1997-11,1549
1997-12,2178
1998-01,1423
1998-02,1312
1998-03,1465
1998-04,1488
1998-05,1577
1998-06,1591
1998-07,1669
1998-08,1697
1998-09,1659
1998-10,1597
1998-11,1728
1998-12,2326
1999-01,1529
1999-02,1395
1999-03,1567
1999-04,1536
1999-05,1682
1999-06,1675
1999-07,1758
1999-08,1708
1999-09,1561
1999-10,1643
1999-11,1635
1999-12,2240
2000-01,1485
2000-02,1376
2000-03,1459
2000-04,1526
2000-05,1659
2000-06,1623
2000-07,1731
2000-08,1662
2000-09,1589
2000-10,1683
2000-11,1672
2000-12,2361
2001-01,1480
2001-02,1385
2001-03,1505
2001-04,1576
2001-05,1649
2001-06,1684
2001-07,1748
2001-08,1642
2001-09,1571
2001-10,1567
2001-11,1637
2001-12,2397
2002-01,1483
2002-02,1390
2002-03,1562
2002-04,1573
2002-05,1718
2002-06,1752
2002-07,1809
2002-08,1759
2002-09,1698
2002-10,1643
2002-11,1718
2002-12,2399
2003-01,1551
2003-02,1497
2003-03,1697
2003-04,1672
2003-05,1805
2003-06,1903
2003-07,1928
2003-08,1963
2003-09,1807
2003-10,1843
2003-11,1950
2003-12,2736
2004-01,1798
2004-02,1700
2004-03,1901
2004-04,1820
2004-05,1982
2004-06,1957
2004-07,2076
2004-08,2107
2004-09,1799
2004-10,1854
2004-11,1968
2004-12,2364
2005-01,1662
2005-02,1681
2005-03,1725
2005-04,1796
2005-05,1938
2005-06,1871
2005-07,2001
2005-08,1934
2005-09,1825
2005-10,1930
2005-11,1867
2005-12,2553
2006-01,1624
2006-02,1533
2006-03,1676
2006-04,1706
2006-05,1781
2006-06,1772
2006-07,1922
2006-08,1743
2006-09,1669
2006-10,1713
2006-11,1733
2006-12,2369
2007-01,1491
2007-02,1445
2007-03,1643
2007-04,1683
2007-05,1751
2007-06,1774
2007-07,1893
2007-08,1776
2007-09,1743
2007-10,1728
2007-11,1769
2007-12,2431
